Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Braised Pork w/White Beans & Tomatoes,126,7.1g,2g,0g,27.5mg,281.5mg,5.7g,1.6g,1.1g,9.6g
Fettuccini Pasta,149,0.7g,0g,0g,0mg,30.9mg,31.3g,1.5g,1.5g,5.2g
Marinara Sauce,27,1.6g,0.2g,0g,0mg,137.5mg,3.2g,0.9g,2.3g,0.9g
Mushroom Cream Sauce,128,12.5g,7.2g,0.4g,37.1mg,89.5mg,2.4g,0.3g,1.8g,2.3g
"Penne w/Mushrooms, Tomatoes & Spinach",153,8.9g,4g,0.2g,19.1mg,60.5mg,15.5g,1.5g,1.7g,4.4g
Rstd Cauliflower w/Lemon Parsley Dressing,77,6.9g,1.1g,0g,0mg,139mg,4.1g,1.6g,1.6g,1.5g
Whole Grain Penne,212,1.1g,0g,0g,0mg,23.1mg,31.3g,4.5g,1.1g,8.9g
Chickpea & Kelp Meatballs,94,5.6g,5.6g,0g,0mg,165.1mg,6g,2.3g,0g,5.1g
GF Garlic Bread,100,5g,2.1g,0.1g,9.4mg,120.7mg,11.9g,0.4g,0.6g,2.4g
GF Penne Pasta,203,1g,0g,0g,0mg,0mg,43.5g,1g,0g,4.1g
Oven Roasted Tomatoes,76,5.7g,0g,0g,0mg,207.9mg,5.7g,1.9g,1.9g,1.9g
Pesto Sauce,242,24g,2.9g,0.1g,5.7mg,472.3mg,2.6g,0.4g,0.4g,3.9g
Sauteed Broccoli,22,1.2g,0.1g,0g,0mg,75.9mg,1.7g,2.2g,1.4g,2.2g
Sauteed Mushrooms,36,3g,0.4g,0g,0mg,69.1mg,2.3g,0.5g,1.2g,1.6g
Shredded Parmesan Cheese,33,3.3g,1.7g,0g,8.3mg,116.7mg,0g,0g,0g,3.3g
Spinach & Garlic,34,2g,0.3g,0g,0mg,80.6mg,3.3g,1.9g,0.4g,2.4g
Summer Squash,31,1.5g,0.2g,0g,0mg,38.1mg,4g,1g,2.9g,1g
VIOLIFE GF Plant Based Mac & Cheese,294,21.8g,14.3g,0g,0.1mg,214.1mg,22g,0.5g,0.5g,1.8g
Black Beans,80,1.7g,0.1g,0g,0mg,217.7mg,12.8g,2.6g,0.7g,3.6g
Latin Toppings,135,10.5g,6.3g,0.2g,31.1mg,281.6mg,3g,0.5g,1.1g,6.2g
Mexican Quinoa & Black Bean Salad,62,1.9g,0.2g,0g,0mg,101.8mg,9.1g,1.4g,0.8g,2.1g
Peruvian Arroz con Pollo,297,13.4g,4g,0g,66.3mg,190mg,21.3g,1.4g,0.9g,19.2g
Peruvian Zucchini & Corn,57,2.7g,0.4g,0g,0mg,110.3mg,7.8g,1.1g,1.9g,1.4g
Salsa Criolla,12,0g,0g,0g,0mg,77.6mg,2.6g,0.6g,1.5g,0.2g
Herb Roasted Mushrooms,36,3g,0.4g,0g,0mg,100mg,2.5g,0.7g,1.7g,2.8g
Oven Roasted Summer Squash,20,0.7g,0.1g,0g,0mg,103.2mg,3.4g,1.1g,1.9g,0.7g
Bread Pudding,293,21g,13.1g,0.6g,92.6mg,98.2mg,23.1g,0.5g,16g,3.7g
Cranberry Buckle,135,3.7g,0.3g,0g,0mg,74.1mg,42.9g,1.5g,28.2g,1.8g
