Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Cochinita Pibil (Pork),83,3.7g,1.4g,0g,30mg,153.5mg,1.9g,0.1g,0.1g,9.8g
"Quinoa, Corn & Avocado Salad",48,1.9g,0.2g,0g,0mg,31.7mg,7.4g,1.3g,1.2g,1.4g
Yucatan Chili Salsa,12,0g,0g,0g,0mg,81.9mg,2.1g,0.1g,0.3g,0.4g
Yucutan Saffron Rice,77,0.5g,0.1g,0g,0mg,82mg,16.2g,0.7g,0.4g,1.4g
Buffalo Chicken Baked Potato Bar,231,12.5g,5.1g,0.2g,30.7mg,375.3mg,19.9g,2.1g,0.6g,10.4g
Blueberry Pancakes,193,3.8g,0.9g,0g,9.5mg,436.6mg,36g,0.2g,7.3g,4.8g
Mexican Style Potatoes,88,3.2g,1.1g,0.1g,5.1mg,72.3mg,12.6g,0.1g,1.1g,2.7g
Grilled Chicken Breast,31,0.9g,0.1g,0g,17.9mg,33.5mg,0g,0g,0g,5.6g
Grilled Chicken Thighs,94,3.8g,0.8g,0g,67.2mg,158.6mg,0g,0g,0g,14g
Coconut Chicken Curry,124,7.9g,2.9g,0g,37.8mg,166.2mg,4.5g,0g,1.2g,8.3g
Deep Fried Onion Pakora,110,7.7g,1.7g,0g,0mg,160.9mg,7.3g,1g,0.5g,2.6g
Green Beans w/Coconut,41,1.1g,0.4g,0g,0mg,197.4mg,7.2g,2.6g,3.2g,1.5g
Potatoes & Green Pea Curry,131,8.4g,4.5g,0g,0mg,408.5mg,11.9g,0.8g,2.3g,1.9g
Bacon Slices,28,2.5g,0.9g,0g,7.1mg,120.5mg,0g,0g,0g,1.8g
Chicken Salad,125,10.9g,1.6g,0g,32.3mg,121.3mg,1.4g,0.3g,0.2g,5.6g
Homemade Mid Eastern Hummus,111,4.9g,0.6g,0g,0mg,329.2mg,12.9g,2.3g,2.4g,4.4g
Provolone Cheese,47,3.5g,2.6g,0.1g,9.2mg,66.6mg,0.3g,0.3g,0g,3.4g
Tuna Salad,128,10g,1.8g,0g,20mg,178.1mg,1.1g,0.2g,0.2g,8.7g
Chocolate Chunk Cookie,190,9g,4.5g,0g,15mg,105mg,26g,1g,15g,2g
Chicken Katsu,82,5.5g,0.6g,0g,10.7mg,145.3mg,3.8g,0g,0.2g,3.8g
Japanese Curry Noodles w/Chicken Katsu,204,7.8g,3.1g,0g,73.9mg,537.7mg,25.7g,0.6g,2.3g,6.7g
Chicken Tacos Meat,33,0.3g,0g,0g,12.2mg,174.3mg,2.1g,0.5g,0.3g,5.7g
Plant Based Beef Taco Filling,39,1.9g,0.9g,0g,0mg,58.4mg,2.5g,1.1g,0.4g,3.1g
BBQ Chicken,160,5.6g,1.6g,0g,91.7mg,239.7mg,8.7g,0.7g,7.3g,16.8g
Southern Cheese Grits,39,1.4g,0.5g,0g,4.2mg,30.8mg,5g,0.3g,0.3g,1.6g
Bush's Baked Beans,63,0.2g,0g,0g,0mg,213.7mg,12.9g,1.9g,5.6g,2.7g
Spiced Sweet Potato Wedges,84,1.2g,0.1g,0g,0mg,114mg,17.2g,2.7g,3.5g,1.4g
Butternut Squash w/Sage,61,2.8g,0.4g,0g,0mg,243.6mg,9.8g,1.7g,1.8g,0.9g
Spicy Collard Greens,41,2.5g,0.3g,0g,0mg,123.3mg,4.2g,2.1g,0.9g,1.5g
Pad Kra Pao Moo (Pork),132,9.3g,2.6g,0g,21.7mg,591.5mg,6g,0.9g,3.4g,6g
Sweet Chili Pulmuone Tofu,209,14.2g,1.8g,0g,0mg,194.4mg,11g,2g,6.8g,10.4g
Thai Tamarind Wings,162,2.8g,0.8g,0g,43.2mg,536.2mg,15.6g,0.1g,13.9g,17.5g
Vegetable Spring Rolls,158,15.3g,1.4g,0g,0mg,16.7mg,5.6g,0g,0g,1.1g
Alfalfa Sprouts,1,0g,0g,0g,0mg,0.2mg,0.1g,0.1g,0g,0.1g
Beans Black,56,0g,0g,0g,0mg,66mg,10.2g,2.5g,0.5g,3.6g
Carrots Sticks,5,0g,0g,0g,0mg,10.9mg,1.3g,0.4g,0.9g,0.2g
Celery Sticks,2,0g,0g,0g,0mg,10.3mg,0.4g,0.2g,0.2g,0.1g
Cheddar Cheese,115,9.4g,5.3g,0.3g,28.1mg,185.1mg,0.9g,0g,0.1g,6.5g
Cucumbers,9,0.1g,0g,0g,0mg,1.1mg,2.1g,0.3g,0.9g,0.4g
Fat Free Cottage Cheese,51,1.4g,0.9g,0g,8.5mg,227.2mg,3.4g,0g,2.3g,7.4g
Golden Raisins,86,0.1g,0g,,0mg,3.4mg,22.5g,0g,16.8g,1g
Green Peppers,2,0g,0g,0g,0mg,0.3mg,0.5g,0.2g,0.2g,0.1g
Homemade Red Pepper Hummus,92,4g,0.5g,0g,0mg,293.9mg,10.9g,2g,2.3g,3.7g
Kidney Beans,67,0.2g,0g,0g,0mg,70.9mg,12.4g,2.8g,1.3g,4.2g
Onions,3,0g,0g,,0mg,0.2mg,0.6g,0.1g,0g,0.1g
Pepperoncini,3,0g,0g,,0mg,306.7mg,0.6g,0g,0.6g,0g
Pita Chips,129,6.8g,0.5g,0g,0mg,349.5mg,14.4g,0.3g,0.4g,3.2g
Pulmuone Tofu,40,2.3g,0.5g,0g,0mg,3.3mg,0.7g,0.7g,0g,4.3g
Pumpkin Seeds,90,7.5g,2g,0g,0mg,60mg,2g,1.5g,0.5g,4.5g
Romaine Lettuce,5,0.1g,0g,0g,0mg,2.3mg,0.9g,0.6g,0.3g,0.3g
Sliced Eggs,37,2.6g,0.7g,0g,99.2mg,43.7mg,0g,0g,0g,3.6g
Sliced Mushrooms,3,0g,0g,0g,0mg,0.7mg,0.5g,0.1g,0.3g,0.4g
Sliced Olives Black,47,3.8g,0g,0g,0mg,217.4mg,1.9g,0g,0g,0g
Spinach Leaves,7,0.1g,0g,,0mg,22.4mg,1g,0.6g,0.1g,0.8g
Apple Cake w/Spiced Glaze,225,9.5g,2.2g,0.1g,17.8mg,195.5mg,34.8g,0.5g,25.2g,1.4g
Chocolate Chip Pecan Bar,172,9.3g,3g,0g,0mg,94.2mg,21.7g,1.3g,12.8g,1.8g
Sour Cream Cornbread,162,9.1g,2.1g,0.1g,29.2mg,132.2mg,16.7g,0.5g,5.1g,2.8g
California Roll with Brown Rice,221,5.9g,0.6g,0g,3.3mg,338.3mg,36.8g,2.5g,9.8g,7g
Shrimp Sushi Roll,224,1.7g,0.3g,0g,49.6mg,786.9mg,42.2g,0.9g,12.4g,8.9g
Vegetable Sushi Roll w/Brown Rice,195,5.7g,0.6g,0g,0mg,98.2mg,32.4g,2.5g,9.1g,4.7g
Vegetarian Brown Sushi Roll,190,5.2g,0.5g,0g,0mg,116.8mg,32g,2g,9.4g,4.6g
GF Pork Carnitas Nacho Bar,296,16.7g,6.3g,0g,55.8mg,796mg,21.4g,2.6g,3g,15g
Poutine (Beef Flavor),287,18.9g,6.6g,0g,25.2mg,263.7mg,20.9g,2.4g,0.9g,8g
Rice Pilaf,123,3.8g,0.3g,0g,0mg,0.6mg,19g,0.6g,0g,1.6g
Sautéed Kale,54,2g,0.2g,0g,0mg,57.2mg,8.1g,3g,1.9g,3.7g
Veggie Lasagna Stuffed Peppers,123,7.7g,4g,0.1g,29.4mg,201.6mg,8.5g,2.3g,5.1g,7.1g
Vegetable Pizza,203,5.5g,2.8g,0.1g,14.7mg,446mg,29.5g,1.4g,0.7g,8.4g
Mexican Rice,106,2.5g,0.2g,0g,0mg,126.4mg,18.7g,1g,0.8g,1.7g
Tomato Bisque Soup,113,6.9g,3.8g,0g,18.8mg,350mg,11.3g,1.3g,6.3g,1.9g
"Cheesy White Bean, Zucchini & Tomato Bake",135,8.1g,2.3g,0g,0mg,188.7mg,13.1g,4.1g,1.5g,3.3g
Montreal Roast Potatoes,93,0.9g,0.1g,0g,0mg,271.5mg,19.5g,2.3g,0.9g,2.3g
Fish in Black Bean Sauce,96,4.2g,0.4g,0g,27.7mg,411mg,1.9g,0.4g,0.9g,12.1g
Pulmuone Tofu w/Ssamjang Sauce,133,7.7g,1.4g,0g,0mg,288.2mg,6.1g,2g,2.5g,11.1g
Linguini Pasta,142,0.7g,0g,0g,0mg,30.9mg,29.8g,1.5g,0.7g,6g
Stuffed Rigatoni w/Tom Pesto Nut Cream & Spinach,198,11.5g,5.5g,0.2g,29.5mg,213.9mg,18.7g,2g,4.9g,6.8g
Homemade Spicy Hummus,110,5.3g,0.7g,0g,0mg,68.2mg,11.7g,2g,2.2g,4.7g
"Korean Black Bean Noodles (Pulmuone Pork, Beef)",506,14.2g,3.1g,0g,21.8mg,1602.3mg,73.1g,2.5g,18.8g,21.7g
Pork & Veg Potsticker,60,2g,0.7g,0g,5mg,110mg,8.3g,0.3g,0.3g,2.3g
Steamed Vegetarian Potsticker,32,0.9g,0.1g,0g,0mg,74mg,5.2g,0.2g,0.2g,0.8g
Sweet Chili Dumpling Sauce,36,1.6g,0.3g,0g,0mg,324.1mg,5.3g,0.2g,4.5g,0.3g
Lamb Roganjosh,227,9.2g,2.9g,0g,95.1mg,69.1mg,3g,0.4g,0.6g,31.4g
Paneer Tikka Masala,270,21.5g,12.7g,0.2g,71.9mg,129.4mg,6.3g,0.1g,2.5g,13.4g
Dal Palak,73,1.2g,0.1g,0g,0mg,104.5mg,10.6g,2.8g,0.6g,4.8g
Mint Chutney,27,1.8g,0.1g,0g,0mg,220.2mg,2.7g,0.9g,0.5g,0.5g
Vegetable Pulao,143,3.5g,0.3g,0g,0mg,82.2mg,24.9g,1.6g,3.7g,2.5g
Cochinita Pibil Tacos (Pork),202,9.3g,3.7g,0g,31.9mg,295.4mg,17.6g,2.9g,3.1g,11.8g
Sweet & Sour Pulmuone Tofu,213,10.9g,1.5g,0g,0mg,222.9mg,24.6g,1.6g,15.1g,4.3g
Cheese Rigatoni w/Plant Based Nasoya Bolognese Sauce,185,5.6g,3.1g,0g,19.7mg,234.1mg,25.5g,2g,2.8g,8.8g
Banana Peppers,3,0g,0g,0g,0mg,141.8mg,0.5g,0.5g,0g,0g
Chopped Walnuts,93,9.2g,0.9g,0g,0mg,0.3mg,1.9g,1g,0.4g,2.2g
Craisins,92,0g,0g,0g,0mg,0mg,23.4g,2.1g,20.6g,0g
Feta Cheese,81,6.1g,4.1g,0g,20.3mg,182.3mg,1g,0g,0g,6.1g
"Marinated Kale, Bean & Tomato Salad",41,2.2g,0.3g,0g,0mg,80.1mg,4.3g,1.3g,1g,1.6g
Olive Tapenade,66,6.6g,0.7g,0g,0mg,441.6mg,1.4g,0.4g,0g,0.3g
Parmesan Cheese,17,1.7g,0.8g,0g,4.2mg,58.4mg,0g,0g,0g,1.7g
Radishes,2,0g,0g,0g,0mg,10.2mg,0.6g,0.2g,0.4g,0g
Roasted Tomato & Olive Salad,75,6.1g,1.6g,0g,2.8mg,354.3mg,4.4g,1g,1.5g,1.9g
Tuna,41,1.3g,0.5g,0g,10.1mg,75.9mg,0g,0g,0g,7.1g
Hainanese Chicken Rice,128,3.1g,0.9g,0g,15mg,593.6mg,19.2g,0.6g,0.5g,5.7g
Baked Potato Bar,236,12g,5.8g,0.1g,20.7mg,674.9mg,24.5g,2.6g,1.7g,6.7g
VIOLIFE Dairy Free Shredded Cheddar Cheese,84,6.8g,6.2g,0g,0mg,249.5mg,6g,0g,0g,0g
Blueberry Yogurt Parfait,285,4.8g,1g,0g,5mg,130mg,54.1g,0.8g,27.9g,7.3g
Breakfast Burrito,346,13.7g,4.3g,0.1g,162.9mg,348.8mg,39.2g,2.5g,0.4g,15.9g
GF Bacon Breakfast Bagel Sandwich,320,19.1g,7.2g,0g,189.9mg,991mg,20.5g,2g,3.5g,17g
GF Breakfast Bagel Sandwich,206,9.1g,3.6g,0g,161.5mg,508.6mg,20.5g,2g,3.5g,9.9g
Hash Brown Cakes,181,12.7g,0.4g,0g,0mg,219.3mg,15.9g,1.1g,0g,1.1g
Hot Oatmeal,34,0.6g,0.1g,0g,0mg,0.5mg,6.1g,0.9g,0.1g,1.2g
Sausage Breakfast Burrito,464,23.9g,7.6g,0.1g,232.1mg,623.1mg,39.7g,3g,0.4g,21g
Big Mack Burger,599,33.9g,13.1g,1g,108mg,1143.5mg,40.1g,1g,4.1g,32g
French Fries,193,13.2g,1.2g,0g,0mg,470.4mg,17.7g,1.8g,0g,1.8g
Mozzarella Sticks,189,11.5g,3g,0g,14.8mg,496.6mg,14.1g,0g,0.7g,6.7g
Plant Based Broccoli Chic'n Alfredo Pasta,146,6.9g,1.6g,0g,6.1mg,273.8mg,13.4g,1.7g,1.3g,9.3g
Buffalo Chicken Wrap,364,12.5g,5.5g,0g,53.3mg,924.4mg,38.1g,0.2g,0.1g,21.4g
Chicken Caesar Salad,107,2.4g,1.2g,0g,51.2mg,314.4mg,5.3g,0g,1g,15.3g
Fruit Salad,75,0g,0g,0g,0mg,0mg,20.3g,2g,20.3g,0g
GF Peanut Butter & Strawberry Jam Sandwich,554,23.2g,3.1g,0g,0mg,664.3mg,86.8g,4g,39.5g,9.9g
Gluten Free Turkey Sandwich,283,6g,0g,0g,30.4mg,759mg,45.4g,5.2g,66.1g,14.4g
Tossed Salad,31,0.4g,0g,0g,0mg,9.8mg,6.3g,2.5g,3g,1.7g
Tuna on White,268,12.8g,1.8g,0g,13.8mg,496.3mg,26.4g,0.5g,1.8g,12.5g
Red Potato Home Fries,72,1.7g,0.1g,0g,0mg,77mg,13.3g,1.4g,1.1g,1.6g
Scrambled Eggs,86,6.4g,1.5g,0g,203.2mg,89.4mg,0g,0g,0g,7.3g
Aloo Gobi,48,1.5g,0.2g,0g,0mg,157.5mg,8.4g,1.9g,1.3g,1.6g
Chana Masala,110,2.4g,0.1g,0g,0mg,166.1mg,17.1g,3.3g,3.4g,5.2g
Philly Cheese Steak Grinder,322,17.3g,7.1g,0g,53.2mg,745mg,24.1g,0.3g,1.9g,18.3g
Plant Based Pulmuone Steak & Mushroom Grinder,411,15.6g,2.9g,0g,0mg,740.8mg,48.9g,5.3g,9.4g,21.1g
Chana Masala Cauliflower Soup,19,0.7g,0.6g,0g,0mg,77.4mg,2.7g,0.5g,0.5g,0.4g
Wyatt Family Shephard's Pie,162,10g,4.4g,0.3g,28mg,164.4mg,11.7g,1.5g,1.9g,6.1g
Brown Rice Pilaf,68,1.8g,0.1g,0g,0mg,61mg,12.4g,0.7g,0.1g,1.4g
Roasted Brussels Sprouts,42,1.6g,0.2g,0g,0mg,40.6mg,6.3g,2.7g,1.5g,2.4g
Vichy Carrots w/Butter,42,2.2g,1.4g,0g,5.9mg,84.3mg,5.3g,1.4g,3.9g,0.7g
San Bei Ji,144,8.3g,1.7g,0g,45.4mg,311.2mg,6.1g,0.4g,2.3g,10.4g
Cavatappi Pasta,140,0.7g,0g,0g,0mg,0mg,29.5g,1.5g,0.7g,5.9g
"Spaghetti w/Peas, Tom & Garlic Cream Sc",151,7.1g,2.8g,0.1g,13.8mg,175.5mg,17.5g,1.4g,2.5g,5.1g
Egg Salad,177,14.6g,3.1g,0g,304mg,285mg,1.1g,0.3g,0.2g,10.8g
Taiwanese Beef Noodle Bowl,224,9g,3g,0g,44.5mg,400.7mg,18.7g,1.4g,1.3g,16.5g
Avocado Toast Bar (Bacon),290,13.7g,3.2g,0g,13mg,665.2mg,31.5g,7.9g,2.5g,10.2g
Fried Eggs,73,5.8g,1.2g,0g,148.9mg,65.5mg,0g,0g,0g,5.4g
Puerto Rican Roast Chicken,319,16.5g,4.1g,0g,220.1mg,375.8mg,1.1g,0.4g,0.1g,40.4g
Baked Sweet Plantains,51,1.1g,0.6g,0g,0mg,140.6mg,9.9g,0.2g,9.1g,0.3g
Puerto Rican Beans,88,2.2g,0.1g,0g,0mg,275.4mg,13.2g,2.7g,1.6g,3.9g
"Zucchini, Corn & Peppers",57,2.9g,0.3g,0g,0mg,33.4mg,7.9g,1.4g,3.3g,1.5g
Malaysian Beef Rendang,151,10.4g,6.4g,0g,31.9mg,102.5mg,3g,0.5g,1.9g,10.6g
Nasi Lemak (Coconut Rice) from Malaysia,138,6.7g,3.3g,0g,4mg,61mg,16.5g,0.5g,0.2g,1.6g
Pulmuone Tofu & Vegetable Stir Fry,186,14.2g,1.6g,0.1g,0.1mg,438.3mg,7.1g,2.2g,3.3g,8g
Cavatappi w/Tomato Cream & Spinach,148,6.8g,3.7g,0.2g,18.9mg,116.1mg,18.8g,1.1g,1.8g,4.5g
Avocado Pasta Salad,83,2g,0.2g,0g,0.1mg,30.9mg,14.5g,1.2g,0.5g,2.5g
Cannellini Bean Salad w/Roasted Tomato,69,2.5g,0.7g,0g,3.3mg,321mg,8.5g,2.6g,1.2g,4.6g
Masala Dosa,113,1.8g,0.7g,0g,2.9mg,262.6mg,19.9g,0.7g,0.3g,3.7g
White Coconut Chutney,54,4.1g,2.5g,0g,0.2mg,96.8mg,3.2g,2.2g,0.4g,1.4g
Buffalo Wings,283,23.3g,4.9g,0g,56.2mg,225.6mg,0.3g,0g,0.1g,17.4g
Caesar Salad,73,5.7g,1.2g,0g,6mg,135mg,4.7g,0g,0.7g,2.3g
Celery Sticks,9,0.1g,0g,0g,0mg,45.4mg,1.7g,0.9g,0.8g,0.4g
Jerk Chicken Wings,194,10.7g,1.4g,0g,43.3mg,613mg,4.6g,1g,0.7g,17.9g
Plant Based Boneless Buffalo Chic'n Wings,139,5.1g,0g,0g,0mg,526.6mg,12.3g,1.7g,0.1g,11.1g
BRK Brkfst Sausage Sandwich,406,25.9g,9.6g,0g,191.5mg,778.6mg,24g,1g,1.5g,17.9g
Breakfast Sandwich,226,8.9g,3.6g,0g,161.5mg,568.6mg,24g,1g,1.5g,11.9g
Pearl Sugar Waffles,240,12g,6g,0.5g,20mg,230.2mg,29g,0g,15g,3g
Strawberry Yogurt Parfait,280,4.7g,1g,0g,5mg,130.3mg,52.8g,0.6g,26.9g,7.3g
General Tso Pulmuone Tofu,214,13.8g,1.8g,0g,0mg,364.1mg,16.5g,2.5g,4g,6.2g
Meatball Grinder,817,51.9g,22.2g,0.2g,111.1mg,1815.7mg,127.5g,1.2g,8g,42.6g
Chermoula Roasted Chicken,127,9.5g,2.3g,0g,29.8mg,408mg,2.4g,0.8g,0.5g,7.9g
BBQ Pulled Pork,148,9g,3.3g,0g,41mg,343.8mg,5.7g,0.3g,4.1g,10.9g
Homemade Macaroni & Cheese,135,7.7g,4.6g,0.1g,22.6mg,114.1mg,10.9g,0.4g,1.8g,5.4g
Plant Based Pulmuone Shaved Steak w/Onions & Peppers,210,12.6g,1.5g,0g,0mg,451.9mg,14.2g,5.1g,8.1g,12.3g
Ellis Family Herbed Chicken,121,9.4g,3.4g,0g,36.3mg,41.7mg,0.6g,0g,0.3g,7.6g
Lyonnaise Potatoes,76,2.7g,0.4g,0g,0mg,67.2mg,12.3g,0.2g,0.9g,1.4g
Honey Glazed Carrots & Parsnips,99,6.5g,1.8g,0g,4.6mg,92.3mg,11.7g,1.1g,6.1g,1.2g
Green Curry Thai Pulmuone Tofu,165,12.4g,5.5g,0g,0mg,639.1mg,6g,2.7g,2g,7.1g
Chocolate Drop Cookies,91,4.5g,2.1g,0g,7.7mg,73.7mg,12.9g,0g,7.9g,1g
Bun Heo Quay (Crispy Pork Belly Bowl),398,31.3g,11.1g,0g,40.7mg,387.9mg,22.9g,1.4g,9.5g,7.6g
Pickled Daikon & Carrots,8,0g,0g,0g,0mg,9.5mg,1.5g,0.2g,1.1g,0.2g
Roasted Crispy Pork Belly,293,30g,10.9g,0g,40.7mg,138.8mg,0g,0g,0g,5.3g
Sweet Chili Sauce,48,0g,0g,0g,0mg,405.5mg,11.9g,0.1g,10.6g,0.5g
Vietnamese Nam Nem Sauce,35,1g,0.1g,0g,18.2mg,1140.5mg,4g,0.1g,3.2g,2.4g
8,121,3.5g,1g,0g,0mg,313.2mg,20.2g,1g,0g,3g
Beef Fajita (Meat Only),82,3.4g,0.8g,0g,23.6mg,199mg,3.8g,1.2g,0.9g,9.1g
Red Beans,88,1.7g,0.1g,0g,0mg,261mg,14.5g,2.8g,1.6g,4.1g
Creamy Tuscan Salmon,266,20g,6.8g,0.2g,80.5mg,279.2mg,4.6g,0.5g,2.4g,17.1g
"Orecchiette w/Sausage, Broccolini & Tomatoes",131,5.7g,1.5g,0g,10.4mg,214.4mg,15.2g,1.2g,0.5g,5.3g
Garlic Bread,191,12.4g,5.7g,0g,28.7mg,151.7mg,15.6g,0.6g,1.6g,4.5g
Marinated Tomato & Mozzarella Salad,63,4.4g,2.5g,0g,10.1mg,149.5mg,1.4g,0.3g,0.8g,3.7g
Korean BBQ Chicken,341,32.3g,8.7g,0.2g,73.7mg,240.2mg,5.4g,0g,3.9g,7.1g
Korean Fried Rice w/Nasyoa Kimchi,290,3.7g,0.4g,0g,0mg,544.5mg,53.4g,2g,1.6g,6.1g
Tomato Cream Basil Sauce,118,10.8g,6.3g,0.3g,33.2mg,85.4mg,3.5g,0.8g,2.3g,2.2g
Cannellini Bean Salad w/Red Onion & Olives,90,5.9g,0.6g,0g,0mg,361.5mg,8.4g,2.7g,1.2g,2.5g
Kale & Carrot Salad w/ Pepitas & Tahini,54,3.4g,0.5g,0g,0mg,88.1mg,4.3g,1.1g,1.4g,1.7g
"Marinated Olives, Tomatoes & Artichokes",80,7.6g,1.8g,0g,0mg,333.3mg,2.8g,0.7g,0.5g,0.4g
Halal Pho Noodle Bowl,155,3.5g,1.4g,0g,49.8mg,651.2mg,14.5g,1.3g,8.6g,16.6g
Salmon Sushi Roll,253,3g,0.6g,0g,22mg,584.1mg,43.3g,0.9g,12.7g,12.2g
Salsa Verde con Aguacate,27,2.5g,0.3g,0g,0mg,92.3mg,1.7g,0.2g,0.4g,0.1g
Mashed Potatoes,76,2.5g,1.6g,0g,7.2mg,102.5mg,11.7g,1.3g,1.5g,1.9g
Penne w/Basil Pesto Cream & Sun Dried Tomatoes,146,5.2g,1.6g,0.1g,7.9mg,63.7mg,21.4g,1.3g,1.7g,5.1g
Roast Turkey,98,2.3g,0g,0g,45.3mg,445.6mg,0.8g,0g,0g,17.4g
Turkey Gravy,80,5.7g,3.4g,0g,16.4mg,389.3mg,5.6g,0g,0.1g,1.1g
Mexican Migas (Tortilla Scrambled Eggs),138,9.2g,3.5g,0.1g,192.8mg,281.2mg,4.4g,0.4g,0.4g,9.6g
Italian Vegetables & White Beans,49,1.3g,0.2g,0g,0mg,291.4mg,7.5g,2.4g,1.9g,2.7g
Rice Pilaf,128,4g,0.3g,0g,0mg,5.9mg,19.8g,0.6g,0g,1.7g
Roasted Butternut Squash w/Spices,66,3.3g,0.3g,0g,0mg,206.6mg,9.6g,1.8g,1.8g,0.9g
Shake & Bake Chicken Legs,171,8.3g,1.8g,0g,91.7mg,487.4mg,5.7g,0.3g,0.7g,17.8g
Spinach w/Mushrooms,31,1.6g,0.2g,0g,0mg,60.2mg,3g,1.5g,0.8g,2.5g
Vegetable Lasagna,150,5.5g,2.5g,0g,12.5mg,459.6mg,18.5g,0g,3g,6.5g
Pearl Sugar Waffle Sundae,802,35.4g,19.5g,0.5g,60.6mg,454.4mg,115.3g,1.4g,72.7g,7.9g
Buffalo Chicken Leg,119,7.1g,2.4g,0g,73.8mg,380.2mg,0.6g,0g,0.2g,12.7g
Roasted Haddock w/Lemon Garlic Butter,40,2.5g,0.9g,0g,14.3mg,53.8mg,0.5g,0.1g,0.1g,4.2g
Herb Buttered Red Potatoes,74,2g,1.2g,0g,5.2mg,256.5mg,12.8g,1.5g,1.1g,1.6g
Roasted Zucchini,31,1.8g,0.2g,0g,0mg,52.6mg,3.3g,0.9g,2.3g,1.3g
Dim Sum,159,4.4g,1.1g,0g,2.8mg,276.3mg,23.9g,0.8g,2.8g,4.9g
Homemade Macaroni & Cheese,215,12.5g,8.2g,0g,39.4mg,293.8mg,17.2g,0.8g,2.5g,8.6g
Meatball Sauce,185,14.4g,5.9g,0g,28.8mg,436.6mg,31.1g,0.5g,2.4g,9.5g
Caprese Grilled Cheese,268,12.6g,4.8g,0g,25.8mg,462.7mg,29g,0.6g,2.7g,11g
Grilled Cheese Sandwich,129,6.1g,3.1g,0g,15.1mg,400.9mg,14.2g,0g,1.3g,4.9g
Grilled Ham & Cheese Sandwich,352,17.8g,8.8g,0g,62.1mg,979.6mg,27.8g,0g,2.9g,22.1g
Fish w/Salsa Verde & Roasted Tomatoes,101,3.8g,0.6g,0g,36.8mg,174.1mg,1g,0.1g,0.1g,15.4g
Roasted Pork Loin w/Cran Bacon Relish,120,3.5g,1.1g,0g,43.7mg,194.8mg,5.8g,0.6g,4.4g,15.6g
Sauteed Local Kale & Mushrooms,46,1.9g,0.3g,0g,0mg,150.2mg,6.4g,1.6g,1.5g,2.8g
"Chana Dal, Baby Spinach, Toasted Cumin",176,4.8g,0.2g,0g,0mg,299.8mg,24.8g,4.4g,2.3g,8.1g
Chicken Maharashtra Hot Curry,157,12.2g,3.5g,0g,26.2mg,147.4mg,4.4g,1.2g,0.8g,8.2g
Potato & Pea Samosa,170,11.7g,1.3g,0g,0mg,240mg,16g,0g,0g,2g
Halal Crispy Shrimp Poke Bowl,360,19.4g,2.2g,0g,43.5mg,627.1mg,39.1g,1.5g,6.4g,7.8g
Halal Crispy Tofu Poke Bowl,393,26.4g,3.6g,0g,8.3mg,502.4mg,31.3g,2.9g,7.1g,7.5g
Tater Tots,526,39.5g,2.7g,0g,0mg,690.2mg,46g,0g,0g,4.6g
Chicken Parmesan Sandwich,382,11.4g,3.5g,0.1g,39.2mg,933.7mg,48.3g,0.5g,3.7g,19.4g
Rice Krispy Bar,157,5.1g,3.3g,0g,13.9mg,80.2mg,26.8g,0g,13.1g,1g
Roasted Carrots,35,0.9g,0.1g,0g,0mg,88.5mg,6.3g,1.8g,4.5g,0.9g
Plant Based Baked Ziti,171,8g,4.9g,0g,0.1mg,238.1mg,19.3g,2.1g,1.2g,5.4g
Roasted Cauliflower w/Garlic,39,2.2g,0.3g,0g,0mg,32.7mg,4.3g,1.7g,1.6g,1.6g
Buffalo Chicken Quesadilla,212,11.5g,6.9g,0.1g,50mg,625.8mg,11.7g,0.5g,0.2g,16.2g
Plant Based Buffalo Chic'n Quesadilla,142,7.2g,5.2g,0g,0mg,403.1mg,14.9g,0.5g,0.2g,4.7g
French Onion Meatloaf,151,10.1g,3.4g,0.3g,39.7mg,177.2mg,7g,0.6g,1g,8g
"Spinach, Artichoke & Quinoa Casserole",168,9.4g,4.2g,0.2g,26.2mg,163.7mg,15.3g,1.8g,2.4g,6.3g
Carrot Tzimmes,67,0g,0g,0g,0mg,92.9mg,16.7g,2.4g,13.9g,0.9g
Salmon Cream Cheese Sushi Roll w/Brown Rice,345,16.4g,7.1g,0g,52.3mg,216.8mg,33.4g,2.5g,10.1g,15.3g
Nacho Bar,382,22.5g,7.3g,0.2g,28.7mg,965.3mg,33.2g,1g,2.6g,7.6g
Salois Family Beef Chili,196,11.6g,5.5g,0.5g,37.4mg,294.9mg,11.1g,2.7g,2.1g,11g
Beef Tacos (Meat Only),70,4.7g,1.8g,0.3g,16.8mg,31.1mg,1.9g,0.5g,0.6g,4.3g
Mexican Rice,86,0g,0g,0g,0mg,10.6mg,18.1g,0.7g,0.3g,1.7g
Plant Based Chorizo Crumbles,106,7.7g,1g,0g,0mg,403.6mg,5.8g,4.8g,1g,8.7g
Garlic Bread Sticks,160,5g,1.5g,0g,0mg,240mg,24g,1g,2g,4g
Peach Blueberry Hazelnut Oat Crisp,160,8g,4.9g,0g,0mg,30.5mg,20.9g,0g,11.5g,2.1g
Gluten Free Waffles,224,0.8g,0g,0g,0mg,415.7mg,46.4g,0g,8g,6.4g
