Dish Name,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein
Baked Buffalo Pulmuone Tofu,120,4.5g,0.9g,0g,0mg,420.7mg,10.4g,1.8g,0.4g,9.6g
Baked French Toast w/Banana Maple Syrup and Ricotta,222,5g,2.4g,0g,40.3mg,209mg,39.4g,0.8g,21.3g,5.7g
Baked GF Chicken Tenders,227,9.3g,1.3g,0g,46.7mg,466.9mg,18.7g,1.3g,0g,17.3g
Baked General Tso's Pulmuone Tofu,122,4.8g,1g,0g,0mg,176.7mg,11.2g,1.7g,6.6g,9.6g
Baked Herbs de Provence Chicken,86,2.9g,0.8g,0g,67.2mg,67.9mg,0g,0g,0g,14g
Baked Meatless Tenders,142,5.3g,0g,0g,0mg,336.7mg,12.4g,1.8g,0g,11.5g
Baked Orange Pulmuone Tofu,165,7g,1g,0g,0mg,128.3mg,16.7g,2.3g,6.6g,9g
Baked Pakora,45,0.5g,0g,0g,0mg,201.6mg,8.1g,2g,1g,2g
Baked Potato Bar,236,12g,5.8g,0.1g,20.7mg,674.9mg,24.5g,2.6g,1.7g,6.7g
Baked Salmon w/Guava Sauce,195,12.8g,2.3g,0g,50.6mg,158.6mg,6.6g,2.2g,3.7g,14.5g
Baked Sweet Plantains,51,1.1g,0.6g,0g,0mg,140.6mg,9.9g,0.2g,9.1g,0.3g
Baked Tater Tots,160,8g,0.5g,0g,0mg,250.1mg,20g,2g,0g,2g
Baked Yuca Fries,161,6g,1g,0g,0mg,234.5mg,25.2g,0g,0.5g,0.5g
Baked Ziti,237,4.1g,1.3g,0g,6mg,164.2mg,43.1g,3.7g,3.1g,8.9g
Balsamic Glazed Peppers & Onions,37,1.1g,0.2g,0g,0mg,64.7mg,6.5g,1.5g,2.4g,0.8g
Banana Choc Chip Cake,170,6.7g,1.6g,0g,0mg,194.7mg,27g,0.5g,15.7g,1.4g
Banana Fritter,98,4.2g,0.4g,0g,12.7mg,57mg,13g,0.1g,1.9g,2.2g
Banana Peppers,3,0g,0g,0g,0mg,141.8mg,0.5g,0.5g,0g,0g
